,names,score
67,gurhanzrz,0.0034861797092860455
68,rad44,0.0035636683231991422
69,gecollllll,0.003974429029048068
70,arsipel,0.0035378029740280796
71,umairoffi,0.003602644590406255
72,bitzoner,0.0034095519409195773
73,emamila,0.0034996728779366727
74,imran786,0.003460531206055959
75,slashing,0.0036405078988295207
76,a-blockchain,0.004026127827812419
77,blayzincrypto,0.0035766546348474527
78,juliawilliams,0.003987654621552189
79,pasie15,0.0034479822609199805
80,criptoar,0.0035118507439800945
81,abdelhamidtsouli,0.0036666153041795785
82,jaedea,0.0034472249058463324
83,marshaltrader,0.003577037424498243
84,omercahit,0.00343448109409102
85,sonicseller,0.0035894246263080604
86,ozgun,0.003524861443996578
87,anks123,0.003524708539069531
88,nabilbouasla,0.004013113373869944
89,indiancrypto,0.0035502670507556715
90,udesh,0.0034095367739063478
91,steembusiness,0.0034352712216769205
92,aliyildiz,0.003576256753824787
93,usmanmirza,0.003460455357945606
94,neias,0.003666626307569839
95,filozof,0.0036023738275317127
96,resteemedvote,0.0034097033682291707
97,tux6845,0.0036283246867561646
98,hubtechinfo,0.0035376044500798655
99,machhour,0.0034865805507404463
100,renatokalemi,0.003987409066817842
101,disiaslan,0.0036663642446433434
102,zizo2,0.0035759550781247337
103,photosphotos,0.004013164706844186
104,yuemay,0.003422437506388459
105,rezasaputrafj,0.0035891702582090098
106,pg-live-pt,0.004013327794656771
107,onehand,0.003421951229325874
108,ashwim,0.003512545078016049
109,noxite,0.00400042146526694
110,livedailysignal,0.0036149934425089092
111,kamrankhatri,0.0036533710862676426
112,reactivator,0.0034994135382392017
113,cometobesiktas,0.003550778801488935
114,mahiya.moon,0.0034602836458485367
115,bupaljr,0.0035889894974467755
116,ibrar26,0.003538234692271248
117,noisysky,0.0036788525347924987
118,bitcoin-korea,0.003987607203316945
119,yakuzafth,0.0036154202295705985
120,manojm,0.003512493426149299
121,ferhatonya,0.0035121547473672813
122,aartor,0.0035894807710055592
123,aliallafi,0.0037434543198841875
124,king-of-kings,0.0034739256753116843
125,marketstack,0.004000490628199218
126,newmarket65,0.0035890422335853947
127,cryptonitegirl,0.003512772276907194
128,bitcoinoil777,0.0036404775897256594
129,escape,0.003524812708321448
130,davidshaw,0.0035376377518103815
131,niopomilia,0.0034608982840039163
132,xmflr95,0.004000317388345048
133,spawn09,0.0034226443972238717
134,pikacu12,0.0036407510091110767
135,steemitpowerline,0.0036021830399461364
136,cumali212,0.0036151314307815616
137,jassicadean,0.0035119065096492555
138,hatu,0.0035253050403114025
139,mathello,0.0035503597214191526
140,tech-hub,0.004051835568621434
141,dogeofwallstreet,0.004064676515462593
142,usmangabol,0.003627297077709451
143,shredz7,0.0034867436655951376
144,hyperionallied,0.00361490144703019
145,empiracoinllc,0.003461124492991794
146,cryptolondie,0.003460772685953784
147,manfromcuba,0.0034738369024178506
148,ohamdache,0.003524575625367195
149,haejin,0.0036406266502097425
150,rohanvaya,0.0035631340702695505
151,dhimanyog,0.0035757017660182295
152,sanina,0.003512101785167261
153,adoniece,0.0034223500624657966
154,shivay822,0.003640169340710709
155,gatorinla,0.004064691780915278
156,mohsinshahzad,0.0036151051497460072
157,zorto,0.0035640162681793005
158,kamranmaknojia,0.0035896172174694077
159,obiwon,0.0034607284520312776
160,videoaddiction,0.003987552003831657
161,nickall,0.003563794321723045
162,crypto.panic,0.00356352390213026
163,dekall,0.003524975941437977
164,newscryptonator,0.004064716396382608
165,hemantkr10,0.0034866278117920684
166,anbilivibil,0.0034483438016503737
167,ricjames,0.003987437550389714
168,hazet36,0.003524873518551587
169,chocofoxy,0.0036146841890421916
170,kwangjaggle,0.003525525363750836
171,jfbl1984,0.0039489295821682705
172,pasquale61,0.0040005765624050015
173,skreza,0.0035377997047318786
174,bym,0.0034993022789795033
175,simibac,0.0035756386240874726
176,omradk,0.0036918100741209136
177,lavinas,0.003524830094890263
178,jignesh55227,0.003563982345413119
179,baycan,0.003666051740375845
180,cryptodailyuk,0.0039747978752744054
181,cryptogossip,0.0040518658982074485
182,sidsun,0.003537513224058601
183,serfis,0.0034998531123545873
184,tumutanzi,0.003422564846175765
185,tonyot,0.0035891896261037977
186,ahmadali,0.003576533161301489
187,chumps1,0.003563948330892363
188,shitsignals,0.003525507073718396
189,aefx786,0.0035253801349825965
190,hakan8686,0.0036025057156853424
191,crypto-daily,0.003473716513536796
192,mjinvestructure,0.0035760349943297497
193,ladyheart,0.0035769603469008523
194,aleysia,0.0034990666691424154
195,paulsmuts,0.0034220934638220595
196,maviege,0.0035384102669821075
197,tricksofthetrade,0.0035506983625497677
198,nafestw,0.003563265964445534
199,dragon.lady82,0.0035121366227687913
